거래금액,전용면적,년,면적당금
"132,000",59.606,201901,2214.54
"61,000",59.81,201901,1019.9
"132,000",59.606,201901,2214.54
"19,500",15.25,201901,1278.69
"130,000",84.641,201901,1535.9
"172,500",84.991,201901,2029.63
"180,000",165.23,201901,1089.39
"88,200",39.53,201901,2231.22
"197,000",133.46,201901,1476.1
"102,000",132.63,201901,769.06
"101,900",49.86,201901,2043.72
"140,500",42.55,201901,3302
"143,440",81.42,201901,1761.73
"139,000",42.55,201901,3266.75
"176,000",83.17,201901,2116.15
"152,000",84.87,201901,1790.97
"135,000",60.13,201901,2245.14
"132,000",60.76,201901,2172.48
"229,500",182.2,201901,1259.6
"137,000",41.99,201901,3262.68
"87,500",39.53,201901,2213.51
"182,500",148.5,201901,1228.96
"162,000",114.83,201901,1410.78
"145,000",81.84,201901,1771.75
"170,000",147.91,201901,1149.35
"285,000",217.2,201901,1312.15
"348,000",244.95,201901,1420.7
"195,000",197.8,201901,985.84
"133,000",49.639,201901,2679.34
"260,000",162.47,201901,1600.3
"147,000",59.98,201901,2450.82
"165,500",91.77,201901,1803.42
"299,000",219.48,201901,1362.31
"227,000",152.98,201901,1483.85
"121,000",84.97,201901,1424.03
"210,000",169.28,201901,1240.55
"200,000",84.349,201901,2371.1
"175,000",97.35,201901,1797.64
"23,750",25.42,201901,934.3
"150,000",85,201901,1764.71
"175,000",84.96,201901,2059.79
"185,000",84.48,201901,2189.87
"86,000",84.9,201901,1012.96
"156,800",76.79,201901,2041.93
"157,000",76.79,201901,2044.54
"238,000",117.7,201901,2022.09
"140,000",76.79,201901,1823.15
"179,000",84.48,201901,2118.84
"151,200",76.79,201901,1969.01
"256,000",121.74,201901,2102.84
"92,000",59.67,201901,1541.81
"80,000",135.72,201901,589.45
"415,000",196.7,201901,2109.81
"390,000",210.1,201901,1856.26
"228,500",108.47,201901,2106.57
"302,000",144.2,201901,2094.31
"395,000",196.7,201901,2008.13
"230,000",183.41,201901,1254.02
"285,000",163.67,201901,1741.31
"127,000",91.96,201901,1381.04
"120,000",91.95,201901,1305.06
"173,000",84.99,201901,2035.53
"150,000",101.97,201901,1471.02
"79,000",49.2,201901,1605.69
"190,000",114.4856,201901,1659.6
"185,000",177.255,201901,1043.69
"37,000",33.8,201901,1094.67
"265,000",164.95,201901,1606.55
"315,000",185.622,201901,1697
"108,000",54.81,201901,1970.44
"120,000",66,201901,1818.18
"163,000",130.259,201901,1251.35
"150,000",71.85,201901,2087.68
"187,500",84.9984,201901,2205.92
"25,600",25.89,201901,988.8
"230,000",164.97,201901,1394.19
"35,700",43.27,201902,825.05
"126,000",59.4,201902,2121.21
"28,000",35.88,201902,780.38
"58,000",52.01,201902,1115.17
"162,000",50.64,201902,3199.05
"130,000",60.13,201902,2161.98
"130,500",60.76,201902,2147.79
"153,500",74.25,201902,2067.34
"134,500",61.19,201902,2198.07
"114,000",53.46,201902,2132.44
"178,000",109.49,201902,1625.72
"178,000",137.9,201902,1290.79
"207,000",177.58,201902,1165.67
"208,000",82.365,201902,2525.34
"203,000",84.236,201902,2409.9
"39,000",36.35,201902,1072.9
"139,000",84.52,201902,1644.58
"221,000",121.931,201902,1812.5
"191,000",84.93,201902,2248.91
"150,000",76.79,201902,1953.38
"169,000",84.43,201902,2001.66
"156,000",76.79,201902,2031.51
"310,000",161.47,201902,1919.86
"228,000",126.33,201902,1804.8
"240,000",164.88,201902,1455.6
"148,000",76.79,201902,1927.33
"166,000",84.43,201902,1966.13
"257,000",149.78,201902,1715.85
"30,800",34.2,201902,900.58
"154,000",76.79,201902,2005.47
"158,000",84.208,201902,1876.31
"150,000",84.074,201902,1784.14
"80,000",59.91,201902,1335.34
"39,000",64.23,201902,607.19
"309,800",117.91,201902,2627.43
"344,000",183.41,201902,1875.58
"204,500",111.5,201902,1834.08
"218,500",108.15,201902,2020.34
"140,000",84.73,201902,1652.31
"146,000",84.95,201902,1718.66
"102,500",60,201902,1708.33
"91,500",49.96,201902,1831.47
"80,000",39.51,201902,2024.8
"117,000",84.74,201902,1380.69
"25,500",25.89,201902,984.94
"115,500",84.93,201902,1359.94
"270,000",195.83,201902,1378.75
"190,000",121.42,201902,1564.82
"143,000",146.754,201902,974.42
"30,000",28.44,201903,1054.85
"29,000",30.03,201903,965.7
"34,000",39.89,201903,852.34
"135,000",59.947,201903,2251.99
"68,000",75.35,201903,902.46
"125,000",59.606,201903,2097.1
"21,000",23.85,201903,880.5
"118,000",53.06,201903,2223.9
"165,000",83.7,201903,1971.33
"185,000",58.08,201903,3185.26
"70,000",33.18,201903,2109.7
"163,000",50.38,201903,3235.41
"145,000",42.55,201903,3407.76
"161,000",96.98,201903,1660.14
"140,000",35.87,201903,3902.98
"99,800",49.86,201903,2001.6
"152,000",73.02,201903,2081.62
"245,000",113.96,201903,2149.88
"133,000",60.13,201903,2211.87
"180,000",50.38,201903,3572.85
"230,000",99.991,201903,2300.21
"124,000",53.46,201903,2319.49
"80,000",39.53,201903,2023.78
"158,000",74.25,201903,2127.95
"70,500",33.18,201903,2124.77
"168,000",50.64,201903,3317.54
"190,000",49.56,201903,3833.74
"225,000",104.63,201903,2150.43
"250,000",206.85,201903,1208.61
"340,000",270.25,201903,1258.09
"425,000",196.42,201903,2163.73
"195,000",84.9979,201903,2294.17
"487,800",254.96,201903,1913.24
"111,500",80.66,201903,1382.35
"360,000",145.046,201903,2481.97
"96,000",31.402,201903,3057.13
"291,000",213.435,201903,1363.41
"177,000",114.837,201903,1541.32
"103,500",83.93,201903,1233.17
