거래금액,전용면적,년,면적당금
"19,000",48.73,202001,389.9
"17,700",44.79,202001,395.18
"47,000",68.13,202001,689.86
"61,000",59.99,202001,1016.84
"63,300",84.87,202001,745.85
"55,000",68.13,202001,807.28
"53,000",68.13,202001,777.92
"50,000",84.68,202001,590.46
"76,000",59.9342,202001,1268.06
"84,000",84.88,202001,989.63
"70,000",59.84,202001,1169.79
"50,800",84.95,202001,598
"45,000",56.7,202001,793.65
"45,000",59.58,202001,755.29
"52,000",68.13,202001,763.25
"64,800",84.59,202001,766.05
"61,250",84.87,202001,721.69
"52,000",68.13,202001,763.25
"60,000",59.99,202001,1000.17
"59,000",84.87,202001,695.18
"60,000",84.87,202001,706.96
"57,000",84.817,202001,672.04
"90,000",114.89,202001,783.36
"63,300",59.99,202001,1055.18
"60,500",84.87,202001,712.85
"70,300",117.16,202001,600.03
"59,000",84.87,202001,695.18
"60,500",84.87,202001,712.85
"60,800",84.87,202001,716.39
"62,000",59.99,202001,1033.51
"59,500",84.87,202001,701.07
"64,400",84.87,202001,758.81
"63,000",84.87,202001,742.31
"59,000",84.817,202001,695.62
"71,400",117.16,202001,609.42
"81,000",114.89,202001,705.02
"74,000",84.97,202001,870.9
"61,000",84.87,202001,718.75
"56,000",84.87,202001,659.83
"60,900",84.87,202001,717.57
"63,000",84.87,202001,742.31
"72,000",84.97,202001,847.36
"93,000",84.8778,202001,1095.69
"60,000",84.723,202001,708.19
"51,000",59.4,202001,858.59
"43,000",59.58,202001,721.72
"78,000",132.96,202001,586.64
"55,000",68.13,202001,807.28
"47,000",84.72,202001,554.77
"72,000",117.16,202001,614.54
"52,000",84.68,202001,614.08
"37,100",56.7,202001,654.32
"49,500",59.4,202001,833.33
"72,000",117.16,202001,614.54
"65,000",84.87,202001,765.88
"62,000",84.87,202001,730.53
"68,700",132.96,202001,516.7
"42,000",59.4,202001,707.07
"50,000",68.13,202001,733.89
"43,800",59.58,202001,735.15
"68,800",113.67,202001,605.26
"61,500",114.66,202001,536.37
"52,000",84.68,202001,614.08
"65,300",84.98,202001,768.42
"73,500",113.67,202001,646.61
"37,500",84.98,202001,441.28
"72,000",117.16,202001,614.54
"35,400",52.43,202001,675.19
"69,600",59.84,202001,1163.1
"65,000",84.98,202001,764.89
"63,500",84.98,202001,747.23
"56,500",84.87,202001,665.72
"76,000",152.25,202001,499.18
"73,000",113.67,202001,642.21
"57,000",68.13,202001,836.64
"64,900",84.59,202001,767.23
"49,000",84.72,202001,578.38
"53,000",68.13,202001,777.92
"22,000",54.78,202001,401.61
"73,500",81.82,202001,898.31
"73,000",113.67,202001,642.21
"43,000",59.58,202001,721.72
"50,000",68.13,202001,733.89
"51,800",59.79,202001,866.37
"67,000",84.87,202001,789.44
"49,400",84.72,202001,583.1
"82,500",84.94,202001,971.27
"71,000",117.16,202001,606.01
"57,000",59.99,202001,950.16
"54,000",84.8,202001,636.79
"64,800",84.87,202001,763.52
"50,800",59.4,202001,855.22
"67,000",111.55,202001,600.63
"77,000",114.97,202001,669.74
"43,950",58.59,202001,750.13
"78,000",156.33,202001,498.94
"64,000",111.55,202001,573.73
"73,000",106.27,202001,686.93
"21,800",14.02,202001,1554.92
"70,700",59.96,202001,1179.12
"80,000",84.96,202001,941.62
"60,000",59.91,202001,1001.5
"80,000",114.97,202001,695.83
"62,000",59.91,202001,1034.89
"61,000",59.91,202001,1018.19
"73,000",84.95,202001,859.33
"57,000",56.83,202001,1002.99
"60,000",59.95,202001,1000.83
"60,000",56.83,202001,1055.78
"71,500",84.53,202001,845.85
"79,700",114.65,202001,695.16
"60,800",59.95,202001,1014.18
"81,500",114.65,202001,710.86
"64,000",84.84,202001,754.36
"58,000",59.95,202001,967.47
"67,000",84.83,202001,789.81
"72,000",84.83,202001,848.76
"59,000",59.95,202001,984.15
"55,800",56.83,202001,981.88
"57,000",56.83,202001,1002.99
"119,000",116.86,202001,1018.31
"65,800",84.87,202001,775.3
"64,500",84.87,202001,759.99
"55,700",59.94,202001,929.26
"58,000",84.15,202001,689.25
"61,000",59.6983,202001,1021.8
"22,000",58.45,202001,376.39
"23,000",56.96,202001,403.79
"20,500",60.93,202001,336.45
"16,500",42.61,202001,387.23
"17,000",44.36,202001,383.23
"69,000",45.81,202001,1506.22
"83,000",59.81,202001,1387.73
"85,800",59.81,202001,1434.54
"108,000",84.96,202001,1271.19
"81,500",59.19,202001,1376.92
"101,800",84.96,202001,1198.21
"66,500",45.81,202001,1451.65
"87,000",59.81,202001,1454.61
"84,000",84.96,202001,988.7
"92,000",72.97,202001,1260.79
"50,300",84.41,202001,595.9
"59,400",59.49,202001,998.49
"78,700",84.57,202001,930.59
"63,000",84.97,202001,741.44
"68,500",84.4,202001,811.61
"42,000",59.9,202001,701.17
"62,000",84.65,202001,732.43
"35,000",55.46,202001,631.09
"30,800",59.26,202001,519.74
"50,000",84.99,202001,588.3
"57,500",85,202001,676.47
"59,000",84.6824,202001,696.72
"43,000",59.59,202001,721.6
"70,000",84.56,202001,827.81
"69,000",84.56,202001,815.99
"61,700",84.97,202001,726.14
