거래금액,전용면적,년,,,,,,,,
"47,000",77.03,202101,,,,,,,,
"46,800",84.976,202101,,,,,,,,
"17,700",43.94,202101,,,,,,평균가격,,평균면적
"50,500",84.9996,202101,,,,,,"29,462",,69.92914605
"19,500",55.6125,202101,,,,,,,,21.15
"55,000",65.76,202101,,,,,,,,
"55,000",65.76,202101,,,,,,,1393,
"17,500",42.07,202101,,,,,,,,
"17,500",42.07,202101,,,,,,,,
"28,500",134.88,202101,,,,,,,,
"35,500",84.94,202101,,,,,,,,
"28,900",84.94,202101,,,,,,,,
"38,000",104.46,202101,,,,,,,,
"23,800",59.9,202101,,,,,,,,
"33,300",84.94,202101,,,,,,,,
"20,500",59.9,202101,,,,,,,,
"25,800",59.9,202101,,,,,,,,
"37,500",104.46,202101,,,,,,,,
"33,500",84.9672,202101,,,,,,,,
"20,500",59.9,202101,,,,,,,,
"24,800",59.9585,202101,,,,,,,,
"27,900",59.9,202101,,,,,,,,
"20,500",59.9,202101,,,,,,,,
"32,000",84.94,202101,,,,,,,,
"36,500",84.94,202101,,,,,,,,
"26,000",59.9,202101,,,,,,,,
"24,000",59.9,202101,,,,,,,,
"24,400",59.9,202101,,,,,,,,
"14,300",49.44,202101,,,,,,,,
"29,300",84.89,202101,,,,,,,,
"11,000",37.67,202101,,,,,,,,
"11,150",37.67,202101,,,,,,,,
"11,500",42.9,202101,,,,,,,,
"30,000",84.89,202101,,,,,,,,
"29,000",84.89,202101,,,,,,,,
"30,900",84.89,202101,,,,,,,,
"11,900",42.9,202101,,,,,,,,
"11,700",42.9,202101,,,,,,,,
"30,000",84.89,202101,,,,,,,,
"30,370",84.89,202101,,,,,,,,
"12,400",37.67,202101,,,,,,,,
"14,900",49.44,202101,,,,,,,,
"9,500",37.67,202101,,,,,,,,
"31,000",84.89,202101,,,,,,,,
"30,000",84.89,202101,,,,,,,,
"11,800",42.9,202101,,,,,,,,
"10,500",37.67,202101,,,,,,,,
"14,400",49.44,202101,,,,,,,,
"11,700",37.67,202101,,,,,,,,
"12,900",42.9,202101,,,,,,,,
"19,700",59.95,202101,,,,,,,,
"16,800",59.96,202101,,,,,,,,
"30,000",84.99,202101,,,,,,,,
"24,500",59.99,202101,,,,,,,,
"26,800",84.98,202101,,,,,,,,
"19,000",59.95,202101,,,,,,,,
"29,000",84.99,202101,,,,,,,,
"19,000",59.98,202101,,,,,,,,
"16,300",59.95,202101,,,,,,,,
"24,500",76.6,202101,,,,,,,,
"22,000",59.99,202101,,,,,,,,
"17,800",56.345,202101,,,,,,,,
"21,000",59.99,202101,,,,,,,,
"30,500",85,202101,,,,,,,,
"16,200",59.96,202101,,,,,,,,
"34,700",84.98,202101,,,,,,,,
"19,550",59.99,202101,,,,,,,,
"17,500",59.95,202101,,,,,,,,
"18,400",56.345,202101,,,,,,,,
"20,000",59.99,202101,,,,,,,,
"17,800",59.99,202101,,,,,,,,
"31,500",85,202101,,,,,,,,
"36,500",104.46,202101,,,,,,,,
"17,000",56.345,202101,,,,,,,,
"17,000",59.95,202101,,,,,,,,
"29,650",84.98,202101,,,,,,,,
"23,800",59.99,202101,,,,,,,,
"24,000",59.95,202101,,,,,,,,
"31,500",84.99,202101,,,,,,,,
"32,000",84.95,202101,,,,,,,,
"33,000",115.46,202101,,,,,,,,
"39,000",134.98,202101,,,,,,,,
"17,470",49.76,202101,,,,,,,,
"31,200",84.98,202101,,,,,,,,
"20,100",59.98,202101,,,,,,,,
"17,800",59.98,202101,,,,,,,,
"17,000",56.345,202101,,,,,,,,
"25,000",59.95,202101,,,,,,,,
"18,900",59.95,202101,,,,,,,,
"15,200",59.95,202101,,,,,,,,
"24,500",59.99,202101,,,,,,,,
"19,700",59.95,202101,,,,,,,,
"23,500",59.99,202101,,,,,,,,
"19,400",59.99,202101,,,,,,,,
"20,180",59.99,202101,,,,,,,,
"28,700",84.99,202101,,,,,,,,
"18,200",59.96,202101,,,,,,,,
"41,000",134.68,202101,,,,,,,,
"15,000",59.95,202101,,,,,,,,
"54,700",84.9732,202101,,,,,,,,
"24,000",57.9762,202101,,,,,,,,
"41,800",84.9955,202101,,,,,,,,
"40,000",84.9802,202101,,,,,,,,
"32,000",59.9897,202101,,,,,,,,
"38,500",84.9822,202101,,,,,,,,
"29,000",59.9634,202101,,,,,,,,
"30,000",59.9634,202101,,,,,,,,
"40,000",69.9417,202101,,,,,,,,
"36,000",59.9897,202101,,,,,,,,
"15,900",59.98,202101,,,,,,,,
"16,300",49.95,202101,,,,,,,,
"18,500",59.99,202101,,,,,,,,
"30,000",84.94,202101,,,,,,,,
"34,800",84.94,202101,,,,,,,,
"45,000",134.84,202101,,,,,,,,
"17,900",59.99,202101,,,,,,,,
"16,400",49.76,202101,,,,,,,,
"49,300",78.58,202101,,,,,,,,
"14,900",49.6557,202101,,,,,,,,
"13,800",34.21,202101,,,,,,,,
"15,000",48.0702,202101,,,,,,,,
"19,500",59.95,202101,,,,,,,,
"19,000",59.92,202101,,,,,,,,
"35,000",84.96,202101,,,,,,,,
"49,000",78.58,202101,,,,,,,,
"18,700",59.99,202101,,,,,,,,
"104,750",143.98,202101,,,,,,,,
"26,000",84.92,202101,,,,,,,,
"21,000",59.95,202101,,,,,,,,
"20,400",59.99,202101,,,,,,,,
"16,400",59.99,202101,,,,,,,,
"20,500",59.99,202101,,,,,,,,
"22,000",59.43,202101,,,,,,,,
"16,300",59.99,202101,,,,,,,,
"22,000",59.95,202101,,,,,,,,
"30,400",59.865,202101,,,,,,,,
"16,000",49.95,202101,,,,,,,,
"16,000",49.95,202101,,,,,,,,
"15,800",49.95,202101,,,,,,,,
"32,150",84.98,202101,,,,,,,,
"28,000",84.95,202101,,,,,,,,
"17,000",59.99,202101,,,,,,,,
"49,000",134.93,202101,,,,,,,,
"22,000",59.99,202101,,,,,,,,
"22,500",59.43,202101,,,,,,,,
"32,000",84.965,202101,,,,,,,,
"21,500",59.95,202101,,,,,,,,
"32,900",84.86,202101,,,,,,,,
"27,700",47.62,202101,,,,,,,,
"25,000",84.79,202101,,,,,,,,
"30,000",84.86,202101,,,,,,,,
"30,000",84.86,202101,,,,,,,,
"16,500",57.88,202101,,,,,,,,
"50,800",84.9982,202101,,,,,,,,
"43,100",59.8919,202101,,,,,,,,
"43,500",73.895,202101,,,,,,,,
"48,000",84.9982,202101,,,,,,,,
"67,500",84.4593,202101,,,,,,,,
"18,000",55.85,202101,,,,,,,,
"16,000",56.075,202101,,,,,,,,
"26,400",71.5653,202101,,,,,,,,
"37,500",59.8919,202101,,,,,,,,
"45,000",78.3,202101,,,,,,,,
"20,700",41.02,202101,,,,,,,,
"8,600",42.84,202101,,,,,,,,
"6,000",39.78,202101,,,,,,,,
"6,000",42.84,202101,,,,,,,,
"6,000",42.84,202101,,,,,,,,
"6,000",42.84,202101,,,,,,,,
"6,000",39.78,202101,,,,,,,,
"6,000",39.78,202101,,,,,,,,
"31,700",59.88,202101,,,,,,,,
"31,200",59.88,202101,,,,,,,,
"54,000",134.96,202101,,,,,,,,
"29,800",59.97,202101,,,,,,,,
"48,000",84.89,202101,,,,,,,,
"47,000",84.94,202101,,,,,,,,
"11,800",43.2,202101,,,,,,,,
"6,000",39.78,202101,,,,,,,,
"20,000",84.94,202101,,,,,,,,
"54,700",84.48,202101,,,,,,,,
"23,400",80.422,202101,,,,,,,,
"9,700",43.2,202101,,,,,,,,
"45,000",84.94,202101,,,,,,,,
"88,800",134,202101,,,,,,,,
"8,300",39.78,202101,,,,,,,,
"64,500",66.38,202101,,,,,,,,
"8,700",42.84,202101,,,,,,,,
"73,000",119.22,202101,,,,,,,,
"35,000",72.96,202101,,,,,,,,
"34,500",59.97,202101,,,,,,,,
"11,000",43.2,202101,,,,,,,,
"19,000",59.895,202101,,,,,,,,
"19,600",59.91,202101,,,,,,,,
"67,800",134.92,202101,,,,,,,,
"41,800",85,202101,,,,,,,,
"59,500",84.98,202101,,,,,,,,
"43,500",84.48,202101,,,,,,,,
"30,900",59.94,202101,,,,,,,,
"6,000",42.84,202101,,,,,,,,
"6,000",42.84,202101,,,,,,,,
"6,000",42.84,202101,,,,,,,,
"6,000",39.78,202101,,,,,,,,
"11,500",49.8,202101,,,,,,,,
"13,300",49.8,202101,,,,,,,,
"28,000",84.9628,202101,,,,,,,,
"21,500",84.93,202101,,,,,,,,
"13,300",49.67,202101,,,,,,,,
"14,900",58.14,202101,,,,,,,,
"16,500",58.14,202101,,,,,,,,
"15,300",59.76,202101,,,,,,,,
"39,800",134.92,202101,,,,,,,,
"20,000",59.63,202101,,,,,,,,
"11,600",37.67,202101,,,,,,,,
"13,700",49.67,202101,,,,,,,,
"35,500",84.97,202101,,,,,,,,
"15,000",49.67,202101,,,,,,,,
"16,800",59.76,202101,,,,,,,,
"79,000",128.13,202101,,,,,,,,
"14,700",59.76,202101,,,,,,,,
"14,600",58.14,202101,,,,,,,,
"13,800",49.67,202101,,,,,,,,
"35,000",84.965,202101,,,,,,,,
"16,280",58.14,202101,,,,,,,,
"20,000",59.63,202101,,,,,,,,
"16,700",58.14,202101,,,,,,,,
"14,300",58.14,202101,,,,,,,,
"40,500",84.9437,202101,,,,,,,,
"46,000",134.63,202101,,,,,,,,
"16,500",59.76,202101,,,,,,,,
"14,700",59.76,202101,,,,,,,,
"52,500",84.9213,202101,,,,,,,,
"16,650",58.14,202101,,,,,,,,
"15,500",58.14,202101,,,,,,,,
"16,000",59.76,202101,,,,,,,,
"16,000",59.76,202101,,,,,,,,
"18,500",59.63,202101,,,,,,,,
"16,000",58.14,202101,,,,,,,,
"15,500",59.76,202101,,,,,,,,
"17,000",59.76,202101,,,,,,,,
"19,700",59.99,202101,,,,,,,,
"39,000",116.95,202101,,,,,,,,
"35,600",84.97,202101,,,,,,,,
"15,000",59.76,202101,,,,,,,,
"16,950",59.76,202101,,,,,,,,
"16,500",59.76,202101,,,,,,,,
"16,200",58.14,202101,,,,,,,,
"16,200",58.14,202101,,,,,,,,
"15,650",58.14,202101,,,,,,,,
"16,400",59.76,202101,,,,,,,,
"13,200",59.76,202101,,,,,,,,
"14,200",49.67,202101,,,,,,,,
"26,500",84.9,202101,,,,,,,,
"24,800",84.67,202101,,,,,,,,
"24,710",84.67,202101,,,,,,,,
"45,400",84.9302,202101,,,,,,,,
"35,000",84.925,202101,,,,,,,,
"12,000",45.36,202101,,,,,,,,
"29,850",84.96,202101,,,,,,,,
"14,000",45.36,202101,,,,,,,,
"32,800",84.92,202101,,,,,,,,
"24,800",84.67,202101,,,,,,,,
"31,500",84.9,202101,,,,,,,,
"19,300",59.94,202101,,,,,,,,
"35,000",84.9,202101,,,,,,,,
"28,500",84.82,202101,,,,,,,,
"25,000",84.9,202101,,,,,,,,
"35,000",84.78,202101,,,,,,,,
"33,700",84.92,202101,,,,,,,,
"18,000",48.615,202101,,,,,,,,
"20,000",84.94,202101,,,,,,,,
"32,000",84.9913,202101,,,,,,,,
"35,100",84.95,202101,,,,,,,,
"24,910",84.67,202101,,,,,,,,
"24,500",84.7077,202101,,,,,,,,
"45,500",84.9258,202101,,,,,,,,
"72,500",84.2245,202101,,,,,,,,
"45,500",84.9258,202101,,,,,,,,
"39,800",59.9702,202101,,,,,,,,
"60,500",84.9701,202101,,,,,,,,
"38,000",84.299,202101,,,,,,,,
"28,000",84.98,202101,,,,,,,,
"44,000",59.9702,202101,,,,,,,,
"45,100",59.9702,202101,,,,,,,,
"44,000",84.9872,202101,,,,,,,,
"51,300",84.9767,202101,,,,,,,,
"71,500",123.0396,202101,,,,,,,,
"15,000",41.3,202101,,,,,,,,
"24,900",58.46,202101,,,,,,,,
"19,550",49.94,202101,,,,,,,,
"34,900",84.99,202101,,,,,,,,
"58,500",84.9724,202101,,,,,,,,
