거래금액,전용면적,년,,,,,,,,
"28,000",76.609,202101,,,,,,,,
"35,250",76.7407,202101,,,,,,,,
"34,500",84.9596,202101,,,,,,평균가격,,평균면적
"56,000",84.9986,202101,,,,,,"33,563",,69.97009549
"34,500",84.9596,202101,,,,,,,,21.17
"16,500",63.34,202101,,,,,,,,
"25,000",84.9655,202101,,,,,,,1585,
"33,000",59.984,202101,,,,,,,,
"28,900",84.9655,202101,,,,,,,,
"38,000",84.9596,202101,,,,,,,,
"18,500",59.4,202101,,,,,,,,
"18,000",59.4,202101,,,,,,,,
"19,500",39.981,202101,,,,,,,,
"27,800",76.609,202101,,,,,,,,
"38,000",84.928,202101,,,,,,,,
"33,800",76.959,202101,,,,,,,,
"20,400",84.17,202101,,,,,,,,
"39,800",59.984,202101,,,,,,,,
"21,500",75.76,202101,,,,,,,,
"18,800",59.915,202101,,,,,,,,
"59,500",84.9986,202101,,,,,,,,
"21,500",84.17,202101,,,,,,,,
"40,000",59.984,202101,,,,,,,,
"43,000",59.984,202101,,,,,,,,
"38,400",84.9843,202101,,,,,,,,
"15,000",59.474,202101,,,,,,,,
"13,000",59.9915,202101,,,,,,,,
"14,500",59.9915,202101,,,,,,,,
"15,900",59.9915,202101,,,,,,,,
"11,900",53.9482,202101,,,,,,,,
"20,200",72.535,202101,,,,,,,,
"18,700",72.43,202101,,,,,,,,
"13,000",48.69,202101,,,,,,,,
"26,000",73.26,202101,,,,,,,,
"16,500",56.7,202101,,,,,,,,
"26,200",73.26,202101,,,,,,,,
"26,500",84.985,202101,,,,,,,,
"15,000",32.6702,202101,,,,,,,,
"24,500",84.88,202101,,,,,,,,
"8,400",53.22,202101,,,,,,,,
"25,000",82.44,202101,,,,,,,,
"37,500",162.025,202101,,,,,,,,
"25,100",84.93,202101,,,,,,,,
"11,100",51.096,202101,,,,,,,,
"8,200",44.46,202101,,,,,,,,
"39,000",162.025,202101,,,,,,,,
"14,500",59.99,202101,,,,,,,,
"17,000",59.976,202101,,,,,,,,
"6,300",40.716,202101,,,,,,,,
"7,500",40.716,202101,,,,,,,,
"14,950",59.67,202101,,,,,,,,
"15,200",59.94,202101,,,,,,,,
"15,000",59.976,202101,,,,,,,,
"7,800",40.716,202101,,,,,,,,
"16,500",59.69,202101,,,,,,,,
"14,700",51.091,202101,,,,,,,,
"31,000",84.935,202101,,,,,,,,
"19,000",84.98,202101,,,,,,,,
"9,000",49.14,202101,,,,,,,,
"16,500",59.976,202101,,,,,,,,
"9,500",56.655,202101,,,,,,,,
"15,000",59.976,202101,,,,,,,,
"7,000",44.46,202101,,,,,,,,
"18,800",59.69,202101,,,,,,,,
"29,800",84.935,202101,,,,,,,,
"14,800",59.99,202101,,,,,,,,
"5,900",34.944,202101,,,,,,,,
"7,200",21.3296,202101,,,,,,,,
"4,000",14.3534,202101,,,,,,,,
"11,500",70.64,202101,,,,,,,,
"6,200",34.944,202101,,,,,,,,
"6,500",34.944,202101,,,,,,,,
"7,800",24.8999,202101,,,,,,,,
"16,750",59.9116,202101,,,,,,,,
"6,900",34.944,202101,,,,,,,,
"19,500",84.58,202101,,,,,,,,
