거래금액,전용면적,년,,,,,,,,
"14,350",59.94,202101,,,,,,,,
"9,000",52.83,202101,,,,,,,,
"11,500",59.916,202101,,,,,,평균가격,,평균면적
"17,800",84.9,202101,,,,,,"46,177",,74.28407031
"15,300",59.916,202101,,,,,,,,22.47
"13,800",59.92,202101,,,,,,,,
"11,000",59.58,202101,,,,,,,2055,
"18,500",84.6,202101,,,,,,,,
"8,700",55.745,202101,,,,,,,,
"13,500",55.18,202101,,,,,,,,
"16,300",59.916,202101,,,,,,,,
"9,000",55.745,202101,,,,,,,,
"14,000",59.7,202101,,,,,,,,
"14,800",59.92,202101,,,,,,,,
"17,500",84.87,202101,,,,,,,,
"18,000",84.6,202101,,,,,,,,
"14,500",59.92,202101,,,,,,,,
"6,400",36.33,202101,,,,,,,,
"21,000",52.2,202101,,,,,,,,
"36,500",126.84,202101,,,,,,,,
"23,500",56.9704,202101,,,,,,,,
"70,500",100.9973,202101,,,,,,,,
"22,450",56.9704,202101,,,,,,,,
"7,000",60.32,202101,,,,,,,,
"52,700",126.93,202101,,,,,,,,
"21,800",56.9704,202101,,,,,,,,
"21,000",33.12,202101,,,,,,,,
"20,000",59.91,202101,,,,,,,,
"18,100",59.92,202101,,,,,,,,
"9,000",40.66,202101,,,,,,,,
"24,300",59.96,202101,,,,,,,,
"36,500",84.97,202101,,,,,,,,
"74,500",119.6109,202101,,,,,,,,
"35,800",126.84,202101,,,,,,,,
"12,700",83.58,202101,,,,,,,,
"30,000",39.6,202101,,,,,,,,
"31,500",76.56,202101,,,,,,,,
"25,000",84.975,202101,,,,,,,,
"35,000",115.5,202101,,,,,,,,
"20,000",59.8,202101,,,,,,,,
"16,000",59.794,202101,,,,,,,,
"9,300",40.66,202101,,,,,,,,
"55,000",126.93,202101,,,,,,,,
"17,300",59.794,202101,,,,,,,,
"42,500",84.97,202101,,,,,,,,
"54,000",84.8,202101,,,,,,,,
"6,700",40.66,202101,,,,,,,,
"28,250",59.99,202101,,,,,,,,
"45,000",84.9798,202101,,,,,,,,
"22,000",56.9704,202101,,,,,,,,
"15,000",56.9704,202101,,,,,,,,
"6,300",36.33,202101,,,,,,,,
"8,500",40.66,202101,,,,,,,,
"57,000",84.8,202101,,,,,,,,
"39,500",84.98,202101,,,,,,,,
"40,000",84.97,202101,,,,,,,,
"6,200",60.32,202101,,,,,,,,
"18,800",82.094,202101,,,,,,,,
"53,500",84.9882,202101,,,,,,,,
"26,000",39.6,202101,,,,,,,,
