거래금액,전용면적,년,면적당금
"80,000",59.77,201801,1338.46
"83,500",59.99,201801,1391.9
"180,000",121.54,201801,1480.99
"151,000",84.9097,201801,1778.36
"108,000",132.88,201801,812.76
"35,000",39.89,201801,877.41
"124,000",59.91,201801,2069.77
"165,000",105.89,201801,1558.22
"89,000",84.96,201801,1047.55
"127,800",59.4,201801,2151.52
"53,000",52.31,201801,1013.19
"62,000",59.96,201801,1034.02
"132,000",70.98,201801,1859.68
"89,500",59.82,201801,1496.16
"153,000",84.87,201801,1802.76
"20,450",23.85,201801,857.44
"67,500",111.96,201801,602.89
"172,000",160.33,201801,1072.79
"50,000",33.48,201801,1493.43
"200,000",127.27,201801,1571.46
"17,800",12.1,201801,1471.07
"145,000",84.87,201801,1708.5
"169,000",120.37,201801,1404
"160,000",84.97,201801,1883.02
"144,000",84.587,201801,1702.39
"97,000",84.9,201801,1142.52
"63,000",28.246,201801,2230.4
"122,000",59.8848,201801,2037.24
"31,800",43.58,201801,729.69
"125,000",59.4,201801,2104.38
"153,000",84.9097,201801,1801.91
"167,000",171.944,201801,971.25
"119,000",59.946,201801,1985.12
"130,000",59.95,201801,2168.47
"182,000",144.011,201801,1263.79
"64,000",28.246,201801,2265.81
"63,000",28.246,201801,2230.4
"125,000",59.8848,201801,2087.34
"39,500",22.76,201801,1735.5
"188,000",158.58,201801,1185.52
"170,000",119.095,201801,1427.43
"165,000",84.9876,201801,1941.46
"31,700",43.58,201801,727.4
"180,000",144.641,201801,1244.46
"58,800",28.246,201801,2081.71
"62,800",28.246,201801,2223.32
"21,300",12.94,201801,1646.06
"29,950",30.03,201801,997.34
"140,000",84.9097,201801,1648.81
"156,000",84.9097,201801,1837.25
"90,000",81.013,201801,1110.93
"190,000",144.431,201801,1315.51
"38,900",26.77,201801,1453.12
"29,900",39.2,201801,762.76
"34,500",18.91,201801,1824.43
"190,000",144.011,201801,1319.34
"52,000",71.8,201801,724.23
"145,000",176.03,201801,823.72
"140,000",176.03,201801,795.32
"175,000",114.65,201801,1526.38
"168,000",84.991,201801,1976.68
"165,000",84.991,201801,1941.38
"165,000",171.944,201801,959.61
"193,500",144.011,201801,1343.65
"87,000",125.11,201801,695.39
"64,000",84.28,201801,759.37
"74,000",84.6,201801,874.7
"50,000",50.89,201801,982.51
"96,500",122.46,201801,788.01
"175,000",160.33,201801,1091.5
"60,000",58.85,201801,1019.54
"160,000",84.4816,201801,1893.9
"193,000",127.27,201801,1516.46
"89,750",84.96,201801,1056.38
"157,000",149.7,201801,1048.76
"169,000",84.98,201801,1988.7
"165,000",84.87,201801,1944.15
"100,000",84.95,201801,1177.16
"86,000",152.58,201801,563.64
"38,500",43.99,201801,875.2
"145,000",70.98,201801,2042.83
"190,000",157.37,201801,1207.35
"74,900",129.72,201801,577.4
"62,500",70.57,201801,885.65
"175,000",116.285,201801,1504.92
"185,000",116.285,201801,1590.92
"135,000",59.947,201801,2251.99
"82,000",81.013,201801,1012.18
"19,000",15.25,201801,1245.9
"80,000",84.8,201801,943.4
"195,000",136.28,201801,1430.88
"49,000",50.28,201801,974.54
