거래금액,전용면적,년,면적당금
"17,000",37.36,202101,455.03
"86,000",59.99,202101,1433.57
"98,000",84.97,202101,1153.35
"59,300",59.58,202101,995.3
"85,000",80.54,202101,1055.38
"88,900",84.74,202101,1049.09
"98,000",132.96,202101,737.06
"107,500",84.98,202101,1265
"69,000",59.79,202101,1154.04
"68,200",68.13,202101,1001.03
"64,300",59.4,202101,1082.49
"77,000",59.99,202101,1283.55
"87,000",117.16,202101,742.57
"87,000",117.16,202101,742.57
"91,000",84.98,202101,1070.84
"118,000",132.43,202101,891.04
"61,000",59.58,202101,1023.83
"70,000",59.4,202101,1178.45
"87,500",84.817,202101,1031.63
"84,800",59.99,202101,1413.57
"60,500",59.58,202101,1015.44
"67,300",68.13,202101,987.82
"92,000",114.66,202101,802.37
"89,000",84.87,202101,1048.66
"70,000",68.13,202101,1027.45
"87,700",80.54,202101,1088.9
"100,000",84.77,202101,1179.66
"60,000",59.58,202101,1007.05
"67,700",68.13,202101,993.69
"106,000",84.88,202101,1248.82
"90,500",84.97,202101,1065.08
"92,500",114.66,202101,806.73
"60,000",59.58,202101,1007.05
"97,500",114.66,202101,850.34
"89,000",81.82,202101,1087.75
"80,000",132.96,202101,601.68
"93,000",152.25,202101,610.84
"60,500",59.58,202101,1015.44
"59,000",59.58,202101,990.27
"80,000",59.99,202101,1333.56
"60,000",59.58,202101,1007.05
"72,500",59.4,202101,1220.54
"100,000",117.16,202101,853.53
"79,800",59.99,202101,1330.22
"92,000",84.97,202101,1082.74
"76,300",59.99,202101,1271.88
"106,000",132.96,202101,797.23
"83,800",84.87,202101,987.39
"83,000",84.87,202101,977.97
"20,800",14.093,202101,1475.91
"79,500",59.91,202101,1326.99
"84,500",59.96,202101,1409.27
"34,000",72.66,202101,467.93
"109,500",114.86,202101,953.33
"87,900",84.83,202101,1036.19
"93,400",84.83,202101,1101.03
"79,000",59.95,202101,1317.76
"90,000",84.83,202101,1060.95
"78,000",59.95,202101,1301.08
"73,000",56.83,202101,1284.53
"73,000",56.83,202101,1284.53
"79,000",59.95,202101,1317.76
"108,000",114.65,202101,942
"74,000",56.83,202101,1302.13
"50,500",84.99,202101,594.19
"142,000",116.86,202101,1215.13
"70,000",59.94,202101,1167.83
"69,000",84.15,202101,819.96
"59,000",68.03,202101,867.26
"75,000",59.6983,202101,1256.32
"96,500",84.8681,202101,1137.06
"78,000",98.68,202101,790.43
"26,000",63.87,202101,407.08
"71,500",59.754,202101,1196.57
"112,000",84.96,202101,1318.27
"99,800",59.81,202101,1668.62
"84,500",45.81,202101,1844.58
"102,500",59.81,202101,1713.76
"98,000",59.19,202101,1655.69
"66,750",84.69,202101,788.17
"104,500",59.19,202101,1765.5
"127,000",116.721,202101,1088.06
"105,000",84.904,202101,1236.69
"104,000",84.904,202101,1224.91
"75,000",85,202101,882.35
"65,000",84.92,202101,765.43
"74,900",114.63,202101,653.41
"80,000",84.307,202101,948.91
"73,000",84.92,202101,859.63
"109,700",114.35,202101,959.34
"33,800",43.11,202101,784.04
"39,700",84.71,202101,468.66
"70,700",59.98,202101,1178.73
"74,300",84.98,202101,874.32
"85,000",114.63,202101,741.52
"73,000",59.98,202101,1217.07
"57,000",59.94,202101,950.95
"49,800",59.94,202101,830.83
"78,000",114.81,202101,679.38
"78,000",59.37,202101,1313.79
"85,000",114.56,202101,741.97
"76,800",85,202101,903.53
"75,000",84.95,202101,882.87
"74,000",84.09,202101,880.01
"67,000",84.83,202101,789.81
"78,000",114.75,202101,679.74
"33,500",43.11,202101,777.08
"92,000",114.78,202101,801.53
"80,500",114.63,202101,702.26
"80,500",84.6824,202101,950.61
"71,700",84.99,202101,843.63
"57,700",59.88,202101,963.59
"68,000",59.77,202101,1137.69
"66,000",59.77,202101,1104.23
"74,300",84.88,202101,875.35
"90,000",109.75,202101,820.05
"90,000",109.75,202101,820.05
"65,800",59.77,202101,1100.89
"69,300",59.77,202101,1159.44
"58,000",59.88,202101,968.6
"67,500",84.96,202101,794.49
"69,000",84.99,202101,811.86
"35,000",52.89,202101,661.75
"60,000",59.4,202101,1010.1
"69,700",84.96,202101,820.39
"52,300",59.94,202101,872.54
"86,700",84.65,202101,1024.22
"57,000",59.88,202101,951.9
"74,500",84.98,202101,876.68
"74,000",114.76,202101,644.82
"77,500",59.37,202101,1305.37
"70,500",84.88,202101,830.58
"88,500",84.56,202101,1046.59
"64,800",81.09,202101,799.11
"59,900",59.88,202101,1000.33
"69,500",84.09,202101,826.5
"36,500",52.89,202101,690.11
"82,000",114.81,202101,714.22
"86,500",114.56,202101,755.06
"120,000",84.049,202101,1427.74
"78,700",59.86,202101,1314.73
"78,700",59.86,202101,1314.73
"73,000",59.99,202101,1216.87
"84,800",111.71,202101,759.11
"89,000",59.99,202101,1483.58
"87,000",59.99,202101,1450.24
"77,800",59.99,202101,1296.88
"84,500",59.97,202101,1409.04
"100,400",59.99,202101,1673.61
"103,000",84.96,202101,1212.34
"92,000",84.844,202101,1084.34
"101,000",84.64,202101,1193.29
"76,500",59.998,202101,1275.04
"89,000",59.9723,202101,1484.02
"104,000",84.82,202101,1226.13
"95,000",111.71,202101,850.42
"79,500",59.998,202101,1325.04
"79,500",59.86,202101,1328.1
"103,400",114.73,202101,901.25
"114,000",59.9,202101,1903.17
"99,500",59.99,202101,1658.61
"130,000",114.98,202101,1130.63
"120,000",84.049,202101,1427.74
"144,500",113.226,202101,1276.21
"100,500",84.96,202101,1182.91
"89,000",59.98,202101,1483.83
"108,000",84.82,202101,1273.28
"62,000",59.98,202101,1033.68
"110,000",84.92,202101,1295.34
"70,000",59.373,202101,1178.99
"86,500",84.97,202101,1018.01
"110,000",84.932,202101,1295.15
"114,300",59.97,202101,1905.95
"80,000",84.13,202101,950.91
"114,500",59.9,202101,1911.52
"69,900",59.98,202101,1165.39
"120,000",84.932,202101,1412.9
"90,000",59.99,202101,1500.25
"112,000",84.96,202101,1318.27
"88,000",84.844,202101,1037.2
"150,600",84.95,202101,1772.81
"84,300",59.97,202101,1405.7
