거래금액,전용면적,년,,,,,,,,
"14,500",60.5404,202101,,,,,,,,
"25,400",77.8405,202101,,,,,,,,
"9,000",85.78,202101,,,,,,평균가격,,평균면적
"21,800",65.9034,202101,,,,,,"20,575",,69.98155556
"21,600",84.99,202101,,,,,,,,21.17
"15,300",60.5404,202101,,,,,,,,
"10,400",44.8839,202101,,,,,,,972,
"24,000",47.3,202101,,,,,,,,
"26,000",47.3,202101,,,,,,,,
"31,500",84.9308,202101,,,,,,,,
"13,350",51.94,202101,,,,,,,,
"13,350",51.94,202101,,,,,,,,
"13,000",51.94,202101,,,,,,,,
"13,000",51.94,202101,,,,,,,,
"29,700",84.8212,202101,,,,,,,,
"8,000",56.58,202101,,,,,,,,
"13,800",51.94,202101,,,,,,,,
"13,800",51.94,202101,,,,,,,,
"38,000",107.6685,202101,,,,,,,,
"38,000",107.6685,202101,,,,,,,,
"31,800",84.9308,202101,,,,,,,,
"10,000",59.37,202101,,,,,,,,
"15,500",49.9045,202101,,,,,,,,
"18,700",84.9,202101,,,,,,,,
"9,100",59.37,202101,,,,,,,,
"20,000",84.8434,202101,,,,,,,,
"28,800",84.8797,202101,,,,,,,,
"30,000",59.857,202101,,,,,,,,
"14,000",59.65,202101,,,,,,,,
"43,500",84.8097,202101,,,,,,,,
"27,400",84.8797,202101,,,,,,,,
"15,000",84.6,202101,,,,,,,,
"10,400",59.94,202101,,,,,,,,
"10,900",59.85,202101,,,,,,,,
"30,900",59.857,202101,,,,,,,,
"20,500",84.2328,202101,,,,,,,,
"15,300",84.93,202101,,,,,,,,
"30,000",84.8797,202101,,,,,,,,
"27,500",84.8797,202101,,,,,,,,
"20,600",84.97,202101,,,,,,,,
"20,600",84.97,202101,,,,,,,,
"22,500",134.985,202101,,,,,,,,
"24,000",84.2328,202101,,,,,,,,
"50,000",114.1204,202101,,,,,,,,
"12,200",83.22,202101,,,,,,,,
"26,500",59.857,202101,,,,,,,,
"37,500",102.7879,202101,,,,,,,,
"21,400",83.9394,202101,,,,,,,,
"19,000",84.97,202101,,,,,,,,
"30,900",59.857,202101,,,,,,,,
"20,000",59.96,202101,,,,,,,,
"23,100",84.93,202101,,,,,,,,
"24,700",84.93,202101,,,,,,,,
"15,000",84.93,202101,,,,,,,,
"13,000",84.93,202101,,,,,,,,
"42,100",84.8097,202101,,,,,,,,
"15,700",84.92,202101,,,,,,,,
"19,500",83.9394,202101,,,,,,,,
"16,000",84.72,202101,,,,,,,,
"40,500",84.8097,202101,,,,,,,,
"40,000",84.8857,202101,,,,,,,,
"40,000",84.8857,202101,,,,,,,,
"27,800",84.5458,202101,,,,,,,,
"21,500",84.8743,202101,,,,,,,,
