거래금액,전용면적,년,,,,,,,,
"168,000",80.76,202101,,,,,,,,
"310,000",139.668,202101,,,,,,,,
"215,000",84.95,202101,,,,,,평균금액,,평균면적
"100,000",27.68,202101,,,,,,"154,220",,80.42597425
"246,600",82.61,202101,,,,,,,,24.33
"226,300",76.5,202101,,,,,,,,
"218,500",84.99,202101,,,,,,,,
"228,000",84.99,202101,,,,,,,6339,
"248,100",82.61,202101,,,,,,,,
"248,100",82.61,202101,,,,,,,,
"215,000",137.036,202101,,,,,,,,
"185,000",59.96,202101,,,,,,,,
"210,000",84.83,202101,,,,,,,,
"240,100",82.61,202101,,,,,,,,
"215,000",84.83,202101,,,,,,,,
"223,000",84.99,202101,,,,,,,,
"238,800",84.99,202101,,,,,,,,
"340,000",151.008,202101,,,,,,,,
"218,000",84.83,202101,,,,,,,,
"219,000",84.82,202101,,,,,,,,
"220,000",84.95,202101,,,,,,,,
"248,100",82.51,202101,,,,,,,,
"264,000",114.7,202101,,,,,,,,
"230,000",82.51,202101,,,,,,,,
"237,000",84.8,202101,,,,,,,,
"114,000",59.23,202101,,,,,,,,
"241,350",82.61,202101,,,,,,,,
"237,100",81.75,202101,,,,,,,,
"185,000",59.96,202101,,,,,,,,
"218,000",84.83,202101,,,,,,,,
"235,000",84.99,202101,,,,,,,,
"229,000",84.99,202101,,,,,,,,
"118,000",27.68,202101,,,,,,,,
"228,300",76.5,202101,,,,,,,,
"243,100",82.61,202101,,,,,,,,
"269,000",114.7,202101,,,,,,,,
"231,000",163.935,202101,,,,,,,,
"257,100",82.61,202101,,,,,,,,
"193,000",59.99,202101,,,,,,,,
"233,100",81.75,202101,,,,,,,,
"299,000",135.82,202101,,,,,,,,
"112,000",27.68,202101,,,,,,,,
"237,000",84.8,202101,,,,,,,,
"210,000",208.28,202101,,,,,,,,
"219,500",120,202101,,,,,,,,
"80,000",58.23,202101,,,,,,,,
"201,500",123.27,202101,,,,,,,,
"185,000",84.9,202101,,,,,,,,
"213,000",84.79,202101,,,,,,,,
"247,000",121.63,202101,,,,,,,,
"220,000",84.79,202101,,,,,,,,
"181,000",71.2,202101,,,,,,,,
"205,000",84.9,202101,,,,,,,,
"198,000",171.53,202101,,,,,,,,
"259,000",121.63,202101,,,,,,,,
"212,000",99,202101,,,,,,,,
"214,500",84.79,202101,,,,,,,,
"218,000",81.88,202101,,,,,,,,
"197,500",84.79,202101,,,,,,,,
"185,000",59.64,202101,,,,,,,,
"210,000",99,202101,,,,,,,,
"205,000",84.79,202101,,,,,,,,
"261,000",121.63,202101,,,,,,,,
"199,000",59.47,202101,,,,,,,,
"217,000",71.34,202101,,,,,,,,
"64,300",31.5,202101,,,,,,,,
"208,000",84.9,202101,,,,,,,,
"196,300",84.79,202101,,,,,,,,
"197,000",166.7,202101,,,,,,,,
"170,000",145.93,202101,,,,,,,,
"251,000",134.16,202101,,,,,,,,
"99,500",50.76,202101,,,,,,,,
"200,000",84.9,202101,,,,,,,,
"385,000",244.93,202101,,,,,,,,
"220,000",121.63,202101,,,,,,,,
"230,000",166.91,202101,,,,,,,,
"255,000",120,202101,,,,,,,,
"220,000",84.9,202101,,,,,,,,
"99,500",84.38,202101,,,,,,,,
"127,500",84.85,202101,,,,,,,,
"83,000",59.78,202101,,,,,,,,
"115,000",84.97,202101,,,,,,,,
"147,000",83.02,202101,,,,,,,,
"108,000",84.22,202101,,,,,,,,
"90,000",59.69,202101,,,,,,,,
"94,500",59.95,202101,,,,,,,,
"128,000",84.86,202101,,,,,,,,
"162,000",59.92,202101,,,,,,,,
"129,800",84.86,202101,,,,,,,,
"119,000",84.38,202101,,,,,,,,
"99,000",84.38,202101,,,,,,,,
"121,000",84.95,202101,,,,,,,,
"70,500",59.36,202101,,,,,,,,
"68,000",40.95,202101,,,,,,,,
"105,000",59.975,202101,,,,,,,,
"164,000",134.81,202101,,,,,,,,
"98,000",59.91,202101,,,,,,,,
"17,700",22.87,202101,,,,,,,,
"120,000",84.92,202101,,,,,,,,
"160,000",71.73,202101,,,,,,,,
"124,000",84.92,202101,,,,,,,,
"108,000",66.18,202101,,,,,,,,
"119,000",84.92,202101,,,,,,,,
"149,000",149.89,202101,,,,,,,,
"14,200",17.59,202101,,,,,,,,
"14,200",17.59,202101,,,,,,,,
"14,400",18.4,202101,,,,,,,,
"170,000",108.338,202101,,,,,,,,
"174,000",87.01,202101,,,,,,,,
"154,000",71.73,202101,,,,,,,,
"143,000",84.92,202101,,,,,,,,
"23,150",15.8307,202101,,,,,,,,
"29,700",15.8307,202101,,,,,,,,
"103,000",80.01,202101,,,,,,,,
"129,000",59.92,202101,,,,,,,,
"178,000",114.756,202101,,,,,,,,
"128,000",59.92,202101,,,,,,,,
"128,000",128.71,202101,,,,,,,,
"190,000",114.756,202101,,,,,,,,
"82,000",59.9788,202101,,,,,,,,
"121,500",59.91,202101,,,,,,,,
"149,000",180.667,202101,,,,,,,,
"149,500",84.69,202101,,,,,,,,
"124,000",180.516,202101,,,,,,,,
"96,500",50,202101,,,,,,,,
"126,500",59.92,202101,,,,,,,,
"122,000",82.3,202101,,,,,,,,
"98,000",59.99,202101,,,,,,,,
"150,000",84.67,202101,,,,,,,,
"219,000",84.99,202101,,,,,,,,
"25,000",33.1,202101,,,,,,,,
"175,000",59.96,202101,,,,,,,,
"105,000",54.9,202101,,,,,,,,
"153,000",120.96,202101,,,,,,,,
"145,000",84.69,202101,,,,,,,,
"127,000",59.92,202101,,,,,,,,
"122,000",59.92,202101,,,,,,,,
"128,000",59.91,202101,,,,,,,,
"260,000",110.66,202101,,,,,,,,
"260,000",110.66,202101,,,,,,,,
"128,800",59.92,202101,,,,,,,,
"119,000",115.94,202101,,,,,,,,
"161,000",109.25,202101,,,,,,,,
"130,000",64.26,202101,,,,,,,,
"180,000",59.96,202101,,,,,,,,
"99,000",90.7,202101,,,,,,,,
"93,000",105.02,202101,,,,,,,,
"93,000",105.02,202101,,,,,,,,
"130,000",59.92,202101,,,,,,,,
"132,000",59.92,202101,,,,,,,,
"122,000",58.46,202101,,,,,,,,
"99,000",80.52,202101,,,,,,,,
"27,500",40.97,202101,,,,,,,,
"89,500",84.58,202101,,,,,,,,
"177,000",121.04,202101,,,,,,,,
"175,000",59.96,202101,,,,,,,,
"206,500",84.98,202101,,,,,,,,
"25,000",27.85,202101,,,,,,,,
"115,000",84.8,202101,,,,,,,,
"177,000",121.04,202101,,,,,,,,
"252,000",110.44,202101,,,,,,,,
"136,500",84.11,202101,,,,,,,,
"130,000",84.51,202101,,,,,,,,
"155,500",84.69,202101,,,,,,,,
"111,000",60.72,202101,,,,,,,,
"75,000",39.69,202101,,,,,,,,
"153,000",84.9648,202101,,,,,,,,
"260,000",158.705,202101,,,,,,,,
"79,000",59.94,202101,,,,,,,,
"256,000",158.705,202101,,,,,,,,
"144,500",120.97,202101,,,,,,,,
"172,000",84.705,202101,,,,,,,,
"140,000",84.39,202101,,,,,,,,
"180,000",84.751,202101,,,,,,,,
"50,500",25.65,202101,,,,,,,,
"48,000",25.65,202101,,,,,,,,
"61,000",35.46,202101,,,,,,,,
"89,500",59.91,202101,,,,,,,,
"253,000",158.705,202101,,,,,,,,
"59,000",35.46,202101,,,,,,,,
"79,000",39.69,202101,,,,,,,,
"76,000",39.69,202101,,,,,,,,
"61,200",35.46,202101,,,,,,,,
"187,000",84.751,202101,,,,,,,,
"138,000",84.86,202101,,,,,,,,
