거래금액,전용면적,년,,,,,,,,
"27,000",59.89,202101,,,,,,,,
"20,200",84.73,202101,,,,,,,,
"14,800",59.94,202101,,,,,,평균가격,,평균면적
"14,400",70.86,202101,,,,,,"33,332",,74.29977797
"24,000",59.99,202101,,,,,,,,22.48
"25,800",84.96,202101,,,,,,,,
"31,000",64.41,202101,,,,,,,1483,
"16,100",62.88,202101,,,,,,,,
"33,000",59.78,202101,,,,,,,,
"6,400",33.75,202101,,,,,,,,
"9,500",59.4,202101,,,,,,,,
"29,000",59.89,202101,,,,,,,,
"15,800",59.4,202101,,,,,,,,
"23,800",84.895,202101,,,,,,,,
"9,050",59.4,202101,,,,,,,,
"25,000",74.4,202101,,,,,,,,
"21,500",84.87,202101,,,,,,,,
"16,600",59.77,202101,,,,,,,,
"17,900",59.895,202101,,,,,,,,
"20,400",84.76,202101,,,,,,,,
"23,100",84.81,202101,,,,,,,,
"73,000",84.976,202101,,,,,,,,
"7,700",39.9,202101,,,,,,,,
"15,800",39.74,202101,,,,,,,,
"13,500",59.76,202101,,,,,,,,
"20,500",84.87,202101,,,,,,,,
"19,500",84.87,202101,,,,,,,,
"17,100",74.4,202101,,,,,,,,
"26,500",59.89,202101,,,,,,,,
"8,600",59.4,202101,,,,,,,,
"13,500",59.76,202101,,,,,,,,
"8,450",33.75,202101,,,,,,,,
"14,400",62.88,202101,,,,,,,,
"25,300",60.61,202101,,,,,,,,
"13,800",59.76,202101,,,,,,,,
"77,000",120.005,202101,,,,,,,,
"7,400",39.9,202101,,,,,,,,
"29,000",42.48,202101,,,,,,,,
"33,800",50.25,202101,,,,,,,,
"65,000",84.98,202101,,,,,,,,
"32,500",59.61,202101,,,,,,,,
"32,500",59.61,202101,,,,,,,,
"33,000",59.61,202101,,,,,,,,
"30,200",79.34,202101,,,,,,,,
"19,500",84.81,202101,,,,,,,,
"34,450",59.61,202101,,,,,,,,
"29,000",84.24,202101,,,,,,,,
"27,000",84.506,202101,,,,,,,,
"29,000",84.24,202101,,,,,,,,
"19,000",80.8776,202101,,,,,,,,
"19,000",84.699,202101,,,,,,,,
"54,000",120.6604,202101,,,,,,,,
"20,000",81.121,202101,,,,,,,,
"31,000",70.55,202101,,,,,,,,
"27,000",84.9208,202101,,,,,,,,
"25,000",81.1657,202101,,,,,,,,
"20,000",81.121,202101,,,,,,,,
"89,900",140.007,202101,,,,,,,,
"26,000",84.7864,202101,,,,,,,,
"31,000",59.3669,202101,,,,,,,,
"46,000",56.94,202101,,,,,,,,
"24,200",84.4424,202101,,,,,,,,
"19,900",84.99,202101,,,,,,,,
"29,000",84.5161,202101,,,,,,,,
"153,471",296.94,202101,,,,,,,,
"24,800",53.55,202101,,,,,,,,
"14,700",61.82,202101,,,,,,,,
"21,800",84.66,202101,,,,,,,,
"32,000",84.3877,202101,,,,,,,,
"35,300",84.3189,202101,,,,,,,,
"20,400",84.699,202101,,,,,,,,
"35,800",84.969,202101,,,,,,,,
"54,000",135.29,202101,,,,,,,,
"42,500",81.87,202101,,,,,,,,
"40,000",84.15,202101,,,,,,,,
"52,000",84.95,202101,,,,,,,,
"26,000",80.669,202101,,,,,,,,
"20,000",79.54,202101,,,,,,,,
"22,700",84.7864,202101,,,,,,,,
"39,900",80.25,202101,,,,,,,,
"31,900",84.969,202101,,,,,,,,
"35,100",59.38,202101,,,,,,,,
"22,500",81.7582,202101,,,,,,,,
"19,500",84.04,202101,,,,,,,,
"35,100",59.38,202101,,,,,,,,
"54,000",64.99,202101,,,,,,,,
"35,000",82.08,202101,,,,,,,,
"34,700",99.263,202101,,,,,,,,
"30,000",99.263,202101,,,,,,,,
"17,000",40.8,202101,,,,,,,,
"33,000",64.415,202101,,,,,,,,
"43,500",131.95,202101,,,,,,,,
"12,000",55.49,202101,,,,,,,,
"49,000",56.54,202101,,,,,,,,
"49,000",56.54,202101,,,,,,,,
"26,500",77.6593,202101,,,,,,,,
"53,000",144.497,202101,,,,,,,,
"28,000",84.9732,202101,,,,,,,,
"30,800",74.25,202101,,,,,,,,
"17,000",84.925,202101,,,,,,,,
"17,000",38.64,202101,,,,,,,,
"20,700",59.707,202101,,,,,,,,
"27,600",59.85,202101,,,,,,,,
"31,900",84.975,202101,,,,,,,,
"18,300",41.85,202101,,,,,,,,
"22,200",59.88,202101,,,,,,,,
"40,500",84.975,202101,,,,,,,,
"12,000",38.64,202101,,,,,,,,
"28,500",59.76,202101,,,,,,,,
"12,500",41.85,202101,,,,,,,,
"68,800",90.647,202101,,,,,,,,
"16,400",41.85,202101,,,,,,,,
"25,000",77.04,202101,,,,,,,,
"18,300",41.85,202101,,,,,,,,
"39,750",119.09,202101,,,,,,,,
"4,600",26.957,202101,,,,,,,,
"17,000",38.64,202101,,,,,,,,
"21,800",82.93,202101,,,,,,,,
"52,700",84.5542,202101,,,,,,,,
"16,000",38.64,202101,,,,,,,,
"27,300",59.925,202101,,,,,,,,
"28,800",70.185,202101,,,,,,,,
"28,900",70.185,202101,,,,,,,,
"14,700",59.76,202101,,,,,,,,
"21,000",54.96,202101,,,,,,,,
"15,000",59.76,202101,,,,,,,,
"31,000",55.5478,202101,,,,,,,,
"22,500",59.98,202101,,,,,,,,
"30,400",55.974,202101,,,,,,,,
"16,000",59.76,202101,,,,,,,,
"43,500",121.644,202101,,,,,,,,
"14,000",59.76,202101,,,,,,,,
"21,400",59.98,202101,,,,,,,,
"57,200",127.4689,202101,,,,,,,,
"27,000",73.08,202101,,,,,,,,
"15,000",59.76,202101,,,,,,,,
"44,750",121.644,202101,,,,,,,,
"49,900",84.9949,202101,,,,,,,,
"14,800",59.76,202101,,,,,,,,
"21,000",59.98,202101,,,,,,,,
"21,800",54.96,202101,,,,,,,,
"21,700",54.96,202101,,,,,,,,
"29,900",73.08,202101,,,,,,,,
"53,000",127.4689,202101,,,,,,,,
"49,500",139.8,202101,,,,,,,,
"49,500",139.8,202101,,,,,,,,
"60,000",152.62,202101,,,,,,,,
"23,900",59.925,202101,,,,,,,,
"37,500",84.96,202101,,,,,,,,
"25,500",59.98,202101,,,,,,,,
"35,000",84.99,202101,,,,,,,,
"53,000",84.9949,202101,,,,,,,,
"49,000",136.31,202101,,,,,,,,
"15,500",59.76,202101,,,,,,,,
"33,000",84.93,202101,,,,,,,,
"57,000",153.74,202101,,,,,,,,
"21,800",54.96,202101,,,,,,,,
"53,000",159.243,202101,,,,,,,,
"38,000",84.96,202101,,,,,,,,
"22,000",59.98,202101,,,,,,,,
"16,900",59.4,202101,,,,,,,,
"16,000",63.55,202101,,,,,,,,
"33,400",83.94,202101,,,,,,,,
"27,000",59.9,202101,,,,,,,,
"19,300",69.9,202101,,,,,,,,
"29,900",59.64,202101,,,,,,,,
"40,700",84.96,202101,,,,,,,,
"28,300",84.9487,202101,,,,,,,,
"40,900",84.96,202101,,,,,,,,
"27,200",59.64,202101,,,,,,,,
"89,200",84.914,202101,,,,,,,,
"28,700",59.97,202101,,,,,,,,
"35,000",83.94,202101,,,,,,,,
"14,000",46.53,202101,,,,,,,,
"11,700",60.29,202101,,,,,,,,
"15,500",82.98,202101,,,,,,,,
"26,500",59.64,202101,,,,,,,,
"40,400",84.93,202101,,,,,,,,
"29,400",83.9424,202101,,,,,,,,
"28,700",83.9424,202101,,,,,,,,
"23,000",59.96,202101,,,,,,,,
"39,500",84.93,202101,,,,,,,,
"21,500",82.59,202101,,,,,,,,
"13,000",46.53,202101,,,,,,,,
"29,900",59.97,202101,,,,,,,,
"40,300",84.96,202101,,,,,,,,
"30,000",59.64,202101,,,,,,,,
"94,500",84.914,202101,,,,,,,,
"28,000",74.3,202101,,,,,,,,
"41,000",104.23,202101,,,,,,,,
"29,500",59.97,202101,,,,,,,,
"27,200",84.5321,202101,,,,,,,,
"15,400",49.872,202101,,,,,,,,
"26,500",59.9,202101,,,,,,,,
"36,900",81.87,202101,,,,,,,,
"11,800",46.53,202101,,,,,,,,
"52,000",75.548,202101,,,,,,,,
"34,000",75.0616,202101,,,,,,,,
"13,000",71.41,202101,,,,,,,,
"16,000",59.4,202101,,,,,,,,
"43,000",84.96,202101,,,,,,,,
"33,000",84.9721,202101,,,,,,,,
"27,800",84.9427,202101,,,,,,,,
"31,800",83.94,202101,,,,,,,,
"44,000",104.23,202101,,,,,,,,
"20,000",58.73,202101,,,,,,,,
"20,000",70.86,202101,,,,,,,,
"31,000",59.97,202101,,,,,,,,
"8,500",47,202101,,,,,,,,
"15,950",81.945,202101,,,,,,,,
"30,300",59.9328,202101,,,,,,,,
"30,500",59.6521,202101,,,,,,,,
"18,000",84.94,202101,,,,,,,,
"14,000",44.43,202101,,,,,,,,
"31,000",59.916,202101,,,,,,,,
"16,500",50.37,202101,,,,,,,,
"18,500",84.98,202101,,,,,,,,
"9,700",59.79,202101,,,,,,,,
"29,500",59.9478,202101,,,,,,,,
"29,000",84.417,202101,,,,,,,,
"9,000",51.71,202101,,,,,,,,
"14,000",75.78,202101,,,,,,,,
"13,500",44.43,202101,,,,,,,,
"13,000",74.14,202101,,,,,,,,
"13,000",44.43,202101,,,,,,,,
"11,000",68.88,202101,,,,,,,,
"24,700",58.0697,202101,,,,,,,,
"13,900",59.95,202101,,,,,,,,
"31,300",59.9974,202101,,,,,,,,
"15,000",74.98,202101,,,,,,,,
"24,000",58.0697,202101,,,,,,,,
"9,900",51.71,202101,,,,,,,,
"24,000",58.0697,202101,,,,,,,,
"11,000",51.21,202101,,,,,,,,
"43,500",84.9144,202101,,,,,,,,
"24,700",58.0697,202101,,,,,,,,
"13,400",59.76,202101,,,,,,,,
"9,800",62.13,202101,,,,,,,,
"15,200",74.98,202101,,,,,,,,
"32,000",59.916,202101,,,,,,,,
"48,000",84.9144,202101,,,,,,,,
"13,400",59.76,202101,,,,,,,,
"17,500",76.53,202101,,,,,,,,
"12,000",57.03,202101,,,,,,,,
"44,500",84.9915,202101,,,,,,,,
"14,900",74.98,202101,,,,,,,,
"16,200",84.855,202101,,,,,,,,
"11,000",58.6933,202101,,,,,,,,
"7,850",48.8297,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"3,260",49.65,202101,,,,,,,,
"21,000",84.8,202101,,,,,,,,
"9,900",54,202102,,,,,,,,
"12,000",59.76,202102,,,,,,,,
"14,650",59.76,202102,,,,,,,,
"25,800",84.87,202102,,,,,,,,
"9,700",59.4,202102,,,,,,,,
"42,300",136.4795,202102,,,,,,,,
"21,000",84.575,202102,,,,,,,,
"28,800",84.9067,202102,,,,,,,,
"6,300",33.75,202102,,,,,,,,
"15,500",49.65,202102,,,,,,,,
"15,900",78.375,202102,,,,,,,,
"8,000",54,202102,,,,,,,,
"17,300",49.65,202102,,,,,,,,
"9,800",59.4,202102,,,,,,,,
"30,000",59.89,202102,,,,,,,,
"24,900",59.99,202102,,,,,,,,
"24,300",59.99,202102,,,,,,,,
"28,500",61.1,202102,,,,,,,,
"28,500",61.1,202102,,,,,,,,
"10,300",66.9,202102,,,,,,,,
"18,700",59.95,202102,,,,,,,,
"18,900",83.19,202102,,,,,,,,
"14,000",59.76,202102,,,,,,,,
"26,300",84.87,202102,,,,,,,,
"21,000",84.87,202102,,,,,,,,
"8,000",41.82,202102,,,,,,,,
"43,800",84.84,202102,,,,,,,,
"31,000",42.48,202102,,,,,,,,
"15,000",59.65,202102,,,,,,,,
"20,700",84.87,202102,,,,,,,,
"14,400",58.05,202102,,,,,,,,
"14,000",53.7,202102,,,,,,,,
"10,500",59.79,202102,,,,,,,,
"16,100",78.375,202102,,,,,,,,
"31,600",59.89,202102,,,,,,,,
"24,500",84.575,202102,,,,,,,,
"21,800",59.99,202102,,,,,,,,
"10,500",59.4,202102,,,,,,,,
"15,050",59.65,202102,,,,,,,,
"13,500",59.76,202102,,,,,,,,
"12,800",70.86,202102,,,,,,,,
"33,800",72.316,202102,,,,,,,,
"29,000",84.24,202102,,,,,,,,
"103,000",84.92,202102,,,,,,,,
"37,300",59.98,202102,,,,,,,,
"30,000",84.24,202102,,,,,,,,
"14,700",59.75,202102,,,,,,,,
"33,000",84.92,202102,,,,,,,,
"38,500",142.51,202102,,,,,,,,
"37,500",55.31,202102,,,,,,,,
"59,000",129.28,202102,,,,,,,,
"30,500",59.94,202102,,,,,,,,
"20,000",84.66,202102,,,,,,,,
"29,500",146.94,202102,,,,,,,,
"20,700",81.121,202102,,,,,,,,
"28,000",84.91,202102,,,,,,,,
"34,000",59.6,202102,,,,,,,,
"69,000",77.69,202102,,,,,,,,
"26,000",123.25,202102,,,,,,,,
"183,000",207.1868,202102,,,,,,,,
"90,000",84.3093,202102,,,,,,,,
"30,000",78.8,202102,,,,,,,,
"35,000",73.6669,202102,,,,,,,,
"7,000",36.19,202102,,,,,,,,
"34,000",82.08,202102,,,,,,,,
"26,300",84.7631,202102,,,,,,,,
"69,900",84.9627,202102,,,,,,,,
"54,500",64.52,202102,,,,,,,,
"39,800",122.6249,202102,,,,,,,,
"38,000",84.987,202102,,,,,,,,
"33,700",82.26,202102,,,,,,,,
"54,500",121.655,202102,,,,,,,,
"53,000",84.94,202102,,,,,,,,
"49,700",122.6249,202102,,,,,,,,
"22,800",83.1352,202102,,,,,,,,
"34,900",99.263,202102,,,,,,,,
"9,200",48.43,202102,,,,,,,,
"20,500",84.66,202102,,,,,,,,
"21,000",84.913,202102,,,,,,,,
"56,000",68.13,202102,,,,,,,,
"7,000",36.19,202102,,,,,,,,
"9,850",31.48,202102,,,,,,,,
"27,200",84.5037,202102,,,,,,,,
"11,000",31.48,202102,,,,,,,,
"27,500",84.5037,202102,,,,,,,,
"25,500",82.9461,202102,,,,,,,,
"31,250",59.97,202102,,,,,,,,
"22,000",99.53,202102,,,,,,,,
"50,000",114.6,202102,,,,,,,,
"30,000",84.31,202102,,,,,,,,
"20,000",45.81,202102,,,,,,,,
"11,000",30.77,202102,,,,,,,,
"30,000",123.25,202102,,,,,,,,
"22,500",84.965,202102,,,,,,,,
"40,000",55.31,202102,,,,,,,,
"40,000",81.18,202102,,,,,,,,
"9,200",48.43,202102,,,,,,,,
"14,000",59.595,202102,,,,,,,,
"20,000",80.36,202102,,,,,,,,
"25,700",82.9461,202102,,,,,,,,
"23,000",142.69,202102,,,,,,,,
"35,800",81.16,202102,,,,,,,,
"39,500",80.25,202102,,,,,,,,
"41,450",68.2591,202102,,,,,,,,
"18,000",84.699,202102,,,,,,,,
"67,000",84.903,202102,,,,,,,,
"69,900",84.9627,202102,,,,,,,,
"36,000",60.4973,202102,,,,,,,,
"26,300",80.183,202102,,,,,,,,
"39,000",59.38,202102,,,,,,,,
"34,000",84.3189,202102,,,,,,,,
"17,700",84.699,202102,,,,,,,,
"39,000",84.987,202102,,,,,,,,
"27,300",76.23,202102,,,,,,,,
"23,200",59.88,202102,,,,,,,,
"11,600",58.94,202102,,,,,,,,
"19,400",84.925,202102,,,,,,,,
"13,500",43.26,202102,,,,,,,,
"17,000",38.64,202102,,,,,,,,
"18,100",41.85,202102,,,,,,,,
"19,800",59.707,202102,,,,,,,,
"28,300",59.925,202102,,,,,,,,
"16,500",38.64,202102,,,,,,,,
"23,400",77.04,202102,,,,,,,,
"23,400",77.04,202102,,,,,,,,
"25,000",83.52,202102,,,,,,,,
"40,000",84.99,202102,,,,,,,,
"31,900",84.975,202102,,,,,,,,
"29,950",76.23,202102,,,,,,,,
"27,200",59.88,202102,,,,,,,,
"34,000",84.93,202102,,,,,,,,
"10,000",30.8,202102,,,,,,,,
"9,800",30.8,202102,,,,,,,,
"26,500",77.04,202102,,,,,,,,
"48,500",101.925,202102,,,,,,,,
"22,600",59.82,202102,,,,,,,,
"40,000",84.99,202102,,,,,,,,
"29,400",59.76,202102,,,,,,,,
"16,500",41.85,202102,,,,,,,,
"41,500",84.99,202102,,,,,,,,
"21,300",51.66,202102,,,,,,,,
"33,000",84.9991,202102,,,,,,,,
"14,200",59.76,202102,,,,,,,,
"15,100",59.76,202102,,,,,,,,
"73,000",153.74,202102,,,,,,,,
"53,000",159.243,202102,,,,,,,,
"49,000",84.9949,202102,,,,,,,,
"15,900",59.76,202102,,,,,,,,
"35,200",84.99,202102,,,,,,,,
"15,400",59.76,202102,,,,,,,,
"14,600",59.76,202102,,,,,,,,
"30,000",84.99,202102,,,,,,,,
"49,000",125.05,202102,,,,,,,,
"27,000",73.08,202102,,,,,,,,
"13,000",59.76,202102,,,,,,,,
"26,200",55.974,202102,,,,,,,,
"15,500",59.76,202102,,,,,,,,
"50,500",84.9949,202102,,,,,,,,
"20,500",59.98,202102,,,,,,,,
"52,000",84.9949,202102,,,,,,,,
"26,500",59.98,202102,,,,,,,,
"24,000",59.925,202102,,,,,,,,
"29,700",84.99,202102,,,,,,,,
"15,000",59.76,202102,,,,,,,,
"71,500",128.87,202102,,,,,,,,
"21,900",59.98,202102,,,,,,,,
"31,200",55.974,202102,,,,,,,,
"15,250",59.76,202102,,,,,,,,
"21,000",59.98,202102,,,,,,,,
"40,000",134.71,202102,,,,,,,,
"31,900",59.9303,202102,,,,,,,,
"22,500",59.98,202102,,,,,,,,
"8,750",24.4252,202102,,,,,,,,
