거래금액,전용면적,년,,,,,,,,
"32,500",84.8122,202101,,,,,,,,
"28,900",59.8038,202101,,,,,,,,
"39,500",75.12,202101,,,,,,평균가격,,평균면적
"33,000",84.5888,202101,,,,,,"38,751",,77.66560395
"31,500",59.94,202101,,,,,,,,23.49
"26,400",71.6238,202101,,,,,,,,
"33,800",84.9368,202101,,,,,,,1650,
"34,000",59.94,202101,,,,,,,,
"31,000",59.94,202101,,,,,,,,
"36,000",84.5888,202101,,,,,,,,
"33,800",84.5888,202101,,,,,,,,
"49,900",84.9634,202101,,,,,,,,
"52,000",84.9634,202101,,,,,,,,
"53,000",84.9634,202101,,,,,,,,
"37,000",84.966,202101,,,,,,,,
"29,200",71.6238,202101,,,,,,,,
"42,500",69.6616,202101,,,,,,,,
"40,000",84.966,202101,,,,,,,,
"29,500",71.6238,202101,,,,,,,,
"52,700",84.9634,202101,,,,,,,,
"42,000",84.93,202101,,,,,,,,
"43,500",84.5879,202101,,,,,,,,
"34,900",84.966,202101,,,,,,,,
"37,000",75.12,202101,,,,,,,,
"30,000",59.8809,202101,,,,,,,,
"39,300",84.8122,202101,,,,,,,,
"39,000",84.966,202101,,,,,,,,
"35,000",71.6238,202101,,,,,,,,
"34,500",84.8122,202101,,,,,,,,
"53,750",84.9634,202101,,,,,,,,
"51,400",84.9634,202101,,,,,,,,
"26,300",84.5496,202101,,,,,,,,
"25,000",84.5496,202101,,,,,,,,
"25,000",84.5496,202101,,,,,,,,
"27,100",84.5496,202101,,,,,,,,
"48,000",84.0741,202101,,,,,,,,
"24,500",84.5496,202101,,,,,,,,
"46,800",84.0741,202101,,,,,,,,
"26,400",84.5496,202101,,,,,,,,
"26,000",84.5496,202101,,,,,,,,
"19,350",59.6048,202101,,,,,,,,
"25,800",84.5496,202101,,,,,,,,
"26,000",84.5496,202101,,,,,,,,
"45,000",84.0741,202101,,,,,,,,
"23,500",84.89,202101,,,,,,,,
"24,500",84.51,202101,,,,,,,,
"24,500",84.51,202101,,,,,,,,
"21,800",84.51,202101,,,,,,,,
"18,000",82.19,202101,,,,,,,,
"7,000",24.7925,202101,,,,,,,,
"17,000",59.9925,202101,,,,,,,,
"8,200",24.7925,202101,,,,,,,,
"20,200",84.78,202101,,,,,,,,
"23,800",84.75,202101,,,,,,,,
"7,800",24.7925,202101,,,,,,,,
"21,000",84.96,202101,,,,,,,,
"16,000",59.625,202101,,,,,,,,
"17,000",58.32,202101,,,,,,,,
"17,800",59.24,202101,,,,,,,,
"20,500",84.692,202101,,,,,,,,
"7,200",24.7925,202101,,,,,,,,
